movie,title,genres,year,Rating,Rotton Tomato
1958,Terms of Endearment,Comedy|Drama,1983,4,54
2070,Tender Mercies,Drama|Romance|Western,1983,5,77
2097,Something Wicked This Way Comes,Children|Drama|Fantasy|Mystery|Thriller,1983,2,83
2121,Cujo,Horror|Thriller,1983,10,60
2241,Class,Comedy,1982,3,87
2517,Christine,Horror,1983,2,89
2642,Superman III,Action|Adventure|Sci-Fi,1983,7,93
2795,National Lampoon's Vacation,Comedy,1982,8,92
2804,"Christmas Story, A",Children|Comedy,1983,10,87
2855,Nightmares,Horror,1983,7,53
2902,Psycho II,Horror|Mystery|Thriller,1983,5,74
2915,Risky Business,Comedy,1983,5,99
2942,Flashdance,Drama|Romance,1982,10,84
3039,Trading Places,Comedy,1983,8,85
3331,My Tutor,Drama,1983,9,51
3347,Never Cry Wolf,Adventure|Drama,1983,4,65
3497,Max Dugan Returns,Comedy,1983,7,97
3584,Breathless,Action|Drama|Romance|Thriller,1982,4,56
3591,Mr. Mom,Comedy|Drama,1983,9,97
3691,Private School,Comedy,1982,4,51
3843,Sleepaway Camp,Horror,1983,1,56
3846,Easy Money,Comedy,1982,3,72
4262,Scarface,Action|Crime|Drama,1983,4,65
4275,Krull,Action|Adventure|Fantasy|Sci-Fi,1983,2,95
4353,Uncommon Valor,Action|War,1983,6,65
4809,Silkwood,Drama,1983,8,72
4957,Sudden Impact,Crime|Thriller,1983,8,53
5012,Yentl,Drama|Musical|Romance,1982,10,64
5041,Fire and Ice,Animation|Fantasy,1983,8,98
5054,Brainstorm,Sci-Fi|Thriller,1983,6,95
5101,Richard Pryor Here and Now,Comedy|Documentary,1983,2,81
5650,Strange Brew,Comedy,1982,7,58
5694,Staying Alive,Comedy|Drama|Musical,1982,4,99
6123,Sunless (Sans Soleil),Documentary,1983,3,71
6638,Valley Girl,Comedy|Romance,1982,10,66
6774,Videodrome,Fantasy|Horror|Sci-Fi|Thriller,1982,8,87
6979,WarGames,Drama|Sci-Fi|Thriller,1982,8,51
6989,Gorky Park,Crime|Drama|Thriller,1982,9,91
7570,Octopussy,Action|Adventure|Thriller,1983,8,89
7573,Never Say Never Again,Action|Adventure|Thriller,1983,6,51
7759,Nostalghia,Drama,1982,3,72
7934,Zelig,Comedy,1983,5,69
8183,Educating Rita,Comedy|Drama,1982,6,57
8722,Two of a Kind,Comedy|Fantasy|Romance,1983,7,91
8827,"Bill Cosby, Himself",Comedy|Documentary,1982,5,55
26462,Bad Boys,Crime|Drama|Thriller,1982,2,90
26464,Blue Thunder,Action|Crime|Drama,1983,8,80
26471,Eddie Murphy Delirious,Comedy|Documentary,1982,1,68
26485,Rumble Fish,Drama,1983,9,89
26487,Star 80,Drama,1982,1,93
31035,Testament,Drama,1983,4,80
32444,Carmen,Drama|Musical|Romance,1983,6,88
33021,Dark Habits (Entre tinieblas),Comedy|Drama,1983,10,73
42946,Project A ('A' gai waak),Action|Comedy,1982,5,84
48198,Streamers,Drama|War,1983,5,67
100306,Angst,Drama|Horror,1982,2,67
152173,Michael Jackson's Thriller,Horror,1983,4,50
1225,Amadeus,Drama,1984,5,79
1227,Once Upon a Time in America,Crime|Drama,1983,4,81
1288,This Is Spinal Tap,Comedy,1984,1,79
1305,"Paris, Texas",Drama|Romance,1984,7,94
1347,"Nightmare on Elm Street, A",Horror|Thriller,1983,7,64
1965,Repo Man,Comedy|Sci-Fi,1984,8,71
2003,Gremlins,Comedy|Horror,1984,10,52
2021,Dune,Adventure|Sci-Fi,1983,1,76
2100,Splash,Comedy|Fantasy|Romance,1984,5,66
2117,1984 (Nineteen Eighty-Four),Drama|Sci-Fi,1983,7,71
2144,Sixteen Candles,Comedy|Romance,1983,1,77
2257,No Small Affair,Comedy|Romance,1983,8,81
2259,Blame It on Rio,Comedy|Romance,1984,5,64
2378,Police Academy,Comedy|Crime,1983,6,95
2397,Mass Appeal,Drama,1984,10,64
2716,Ghostbusters (a.k.a. Ghost Busters),Action|Comedy|Sci-Fi,1984,4,50
2852,"Soldier's Story, A",Drama,1983,4,93
2859,Stop Making Sense,Documentary|Musical,1983,8,78
2945,Mike's Murder,Mystery,1983,3,88
3041,Meatballs Part II,Comedy,1984,10,71
3110,Country,Drama,1984,7,98
3206,Against All Odds,Romance,1983,7,75
3342,Birdy,Drama|War,1983,3,83
3441,Red Dawn,Action|Drama|War,1984,10,63
3525,Bachelor Party,Comedy,1983,9,98
3683,Blood Simple,Crime|Drama|Film-Noir,1983,10,55
3699,Starman,Adventure|Drama|Romance|Sci-Fi,1984,8,77
3708,Firestarter,Horror|Thriller,1983,3,95
3766,Missing in Action,Action|War,1983,10,62
3770,Dreamscape,Horror|Sci-Fi|Thriller,1984,5,69
3791,Footloose,Drama,1983,7,72
3877,Supergirl,Action|Adventure|Fantasy,1984,5,91
3925,Stranger Than Paradise,Comedy|Drama,1984,9,68
3937,Runaway,Sci-Fi|Thriller,1984,5,95
4085,Beverly Hills Cop,Action|Comedy|Crime|Drama,1984,2,72
4222,C.H.U.D.,Horror,1983,4,53
4397,Cannonball Run II,Action|Comedy,1984,9,66
5061,Mrs. Soffel,Drama|Romance,1984,9,66
5276,Crimes of Passion,Drama|Romance|Thriller,1983,10,52
5344,Thief of Hearts,Drama|Thriller,1984,10,62
5500,Top Secret!,Comedy,1984,8,51
5568,Johnny Dangerously,Comedy,1984,9,53
6348,Breakin' 2: Electric Boogaloo,Musical,1984,6,93
6349,Breakin',Drama|Musical,1984,9,91
6814,City Heat,Action|Comedy,1984,10,74
7087,"Passage to India, A",Adventure|Drama,1984,7,53
7283,Swing Shift,Drama,1983,4,58
7616,Body Double,Mystery|Thriller,1984,1,60
7983,Broadway Danny Rose,Comedy,1983,9,73
8266,Purple Rain,Drama|Musical,1983,2,61
8610,All of Me,Comedy|Fantasy,1984,5,50
26472,"Norte, El",Adventure|Drama,1984,7,51
26494,Suburbia,Drama,1984,3,88
26501,Choose Me,Comedy|Romance,1984,6,68
26505,Comfort and Joy,Comedy,1983,3,51
26509,Electric Dreams,Comedy|Drama|Romance|Sci-Fi,1983,10,82
32825,Sexmission (Seksmisja),Adventure|Comedy|Sci-Fi,1983,1,93
42351,Threads,Drama|Sci-Fi|War,1983,2,70
71804,Reckless,Comedy|Drama|Romance,1983,3,55
110858,Firstborn,Drama|Thriller,1983,5,69
1199,Brazil,Fantasy|Sci-Fi,1984,3,51
1217,Ran,Drama|War,1985,9,57
1257,Better Off Dead...,Comedy|Romance,1985,1,75
1297,Real Genius,Comedy,1985,8,87
1300,My Life as a Dog (Mitt liv som hund),Comedy|Drama,1984,9,96
1674,Witness,Drama|Romance|Thriller,1985,10,83
1959,Out of Africa,Drama|Romance,1985,5,60
1969,"Nightmare on Elm Street 2: Freddy's Revenge, A",Horror,1985,6,75
2073,Fandango,Comedy,1985,9,83
2086,One Magic Christmas,Drama|Fantasy,1985,6,86
2093,Return to Oz,Adventure|Children|Fantasy,1984,4,94
2134,Weird Science,Comedy|Fantasy|Sci-Fi,1984,2,50
2143,Legend,Adventure|Fantasy|Romance,1985,1,81
2146,St. Elmo's Fire,Drama|Romance,1984,1,87
2344,Runaway Train,Action|Adventure|Drama|Thriller,1984,1,83
2369,Desperately Seeking Susan,Comedy|Drama|Romance,1984,5,75
2371,Fletch,Comedy|Crime|Mystery,1985,10,94
2373,Red Sonja,Action|Adventure|Fantasy,1985,7,53
2376,"View to a Kill, A",Action|Adventure|Thriller,1984,7,67
2377,Lifeforce,Horror|Sci-Fi,1985,1,69
2401,Pale Rider,Western,1984,10,50
2402,Rambo: First Blood Part II,Action|Adventure|Thriller,1985,3,61
2407,Cocoon,Comedy|Sci-Fi,1984,9,56
2411,Rocky IV,Action|Drama,1985,3,94
2413,Clue,Comedy|Crime|Mystery|Thriller,1984,5,51
2414,Young Sherlock Holmes,Action|Adventure|Children|Fantasy|Mystery|Thriller,1984,8,94
2615,My Science Project,Adventure|Sci-Fi,1985,8,60
2655,Howling II: Your Sister Is a Werewolf,Horror,1985,3,52
2758,Plenty,Drama,1984,5,66
2787,Cat's Eye,Horror,1984,3,77
2794,European Vacation (aka National Lampoon's European Vacation),Adventure|Comedy|Romance,1984,8,62
2867,Fright Night,Comedy|Horror|Thriller,1985,9,70
3018,Re-Animator,Comedy|Horror|Sci-Fi,1984,4,85
3102,Jagged Edge,Crime|Romance|Thriller,1984,7,52
3214,American Flyers,Drama,1985,6,94
3223,"Zed & Two Noughts, A",Drama,1984,4,81
3251,Agnes of God,Drama|Mystery,1984,6,74
3385,Volunteers,Comedy,1985,6,58
3399,Sesame Street Presents Follow That Bird,Children|Comedy,1985,4,51
3402,Turtle Diary,Comedy|Drama|Romance,1985,6,53
3432,Death Wish 3,Action|Drama,1985,1,63
3479,Ladyhawke,Adventure|Fantasy|Romance,1985,9,96
3501,Murphy's Romance,Comedy|Romance,1985,4,79
3608,Pee-wee's Big Adventure,Adventure|Comedy,1984,7,53
3637,Vagabond (Sans toit ni loi),Drama,1984,3,89
3685,Prizzi's Honor,Comedy|Drama|Romance,1985,9,63
3690,Porky's Revenge,Comedy,1984,9,52
3704,Mad Max Beyond Thunderdome,Action|Adventure|Sci-Fi,1984,8,70
3819,Tampopo,Comedy,1985,9,73
3961,Ghoulies,Horror,1985,5,69
4001,Code of Silence,Action,1985,5,63
4010,Brewster's Millions,Comedy,1985,4,70
4219,Girls Just Want to Have Fun,Comedy,1985,1,96
4276,Lost in America,Comedy,1984,8,75
4293,Summer Rental,Comedy,1985,10,99
4565,American Ninja,Action|Adventure,1984,2,60
4691,Def-Con 4,Action|Sci-Fi,1985,7,97
4949,Invasion U.S.A.,Action|Thriller,1985,3,61
4952,Morons From Outer Space,Comedy|Sci-Fi,1984,7,75
5278,Fraternity Vacation,Comedy|Romance,1985,3,100
5367,My Beautiful Laundrette,Drama|Romance,1984,9,73
5433,Silver Bullet (Stephen King's Silver Bullet),Adventure|Drama|Horror|Mystery|Thriller,1984,9,93
5471,Perfect,Drama|Romance,1984,5,74
5736,Faces of Death 3,Documentary|Horror,1985,5,69
6345,"Chorus Line, A",Comedy|Drama|Musical,1984,3,62
6664,Commando,Action|Adventure,1984,5,70
6718,Gotcha!,Comedy,1985,4,77
6744,Once Bitten,Comedy|Horror,1985,9,64
6803,Phenomena (a.k.a. Creepers),Horror|Mystery|Thriller,1985,2,98
6818,Come and See (Idi i smotri),Drama|War,1985,7,54
6896,Shoah,Documentary|War,1984,3,62
6964,Dance with a Stranger,Crime|Drama|Thriller,1984,2,72
7027,Silverado,Action|Western,1985,4,54
7036,Teen Wolf,Comedy|Fantasy,1984,3,58
7040,To Live and Die in L.A.,Action|Crime|Drama|Thriller,1985,5,75
7083,Sweet Dreams,Drama,1985,10,52
7307,Flesh & Blood,Action|Adventure|Drama|War,1984,10,60
7308,King Solomon's Mines,Adventure|Comedy,1984,4,76
7419,After Hours,Comedy|Thriller,1984,6,52
7481,Enemy Mine,Adventure|Drama|Sci-Fi,1985,10,50
7566,28 Up,Documentary,1985,2,88
7615,Desert Hearts,Drama,1985,10,75
7743,Explorers,Adventure|Children|Sci-Fi,1985,3,89
8392,Fool for Love,Drama,1984,7,67
8880,Mask,Drama,1984,6,65
9004,D.A.R.Y.L.,Adventure|Children|Sci-Fi,1985,10,99
26528,Anne of Green Gables,Children|Drama,1984,6,60
26547,Police Story (Ging chaat goo si),Action|Comedy|Crime|Thriller,1984,10,78
26555,Spies Like Us,Comedy,1984,3,98
26562,White Nights,Drama,1984,10,81
26581,Sherman's March,Documentary,1985,10,55
36152,Dreamchild,Drama|Fantasy|Romance,1984,8,94
58520,Mala Noche,Drama,1984,10,94
114122,Dim Sum: A Little Bit of Heart,Comedy,1985,2,100
1090,Platoon,Drama|War,1986,7,97
1101,Top Gun,Action|Romance,1985,5,85
1131,Jean de Florette,Drama|Mystery,1985,1,83
1200,Aliens,Action|Adventure|Horror|Sci-Fi,1985,4,72
1259,Stand by Me,Adventure|Drama,1985,4,55
1273,Down by Law,Comedy|Drama|Film-Noir,1986,5,75
1275,Highlander,Action|Adventure|Fantasy,1985,7,74
1296,"Room with a View, A",Drama|Romance,1985,4,68
1330,April Fool's Day,Horror,1985,5,72
1349,Vampire in Venice (Nosferatu a Venezia) (Nosferatu in Venice),Horror,1985,10,87
1967,Labyrinth,Adventure|Fantasy|Musical,1985,4,85
2076,Blue Velvet,Drama|Mystery|Thriller,1985,4,53
2119,Maximum Overdrive,Horror,1986,3,74
2141,"American Tail, An",Adventure|Animation|Children|Comedy,1985,6,95
2145,Pretty in Pink,Comedy|Drama|Romance,1985,9,86
2148,House,Comedy|Fantasy|Horror,1986,3,65
2159,Henry: Portrait of a Serial Killer,Crime|Horror|Thriller,1986,4,80
2260,Wisdom,Crime|Drama,1986,2,84
2261,One Crazy Summer,Comedy,1985,6,78
2262,About Last Night...,Comedy|Drama|Romance,1986,6,90
2312,Children of a Lesser God,Drama,1985,4,89
2345,Desert Bloom,Drama,1985,10,50
2348,Sid and Nancy,Drama,1986,10,69
2349,Mona Lisa,Comedy|Thriller,1986,10,67
2368,King Kong Lives,Adventure|Sci-Fi,1985,7,50
2374,Gung Ho,Comedy|Drama,1986,1,61
2380,Police Academy 3: Back in Training,Comedy|Crime,1985,5,84
2415,Violets Are Blue...,Drama|Romance,1986,2,96
2416,Back to School,Comedy,1986,6,92
2417,Heartburn,Comedy|Drama,1985,3,95
2418,Nothing in Common,Comedy,1986,6,94
2419,Extremities,Drama|Thriller,1986,9,72
2457,Running Scared,Action|Comedy,1986,1,74
2458,Armed and Dangerous,Comedy|Crime,1985,3,90
2463,Ruthless People,Comedy,1986,9,57
2464,Trick or Treat,Horror,1986,9,71
2465,Deadly Friend,Horror,1985,3,82
2468,Jumpin' Jack Flash,Action|Comedy|Romance|Thriller,1986,1,100
2469,Peggy Sue Got Married,Comedy|Drama,1985,9,75
2470,Crocodile Dundee,Adventure|Comedy,1986,6,83
2472,Tough Guys,Comedy,1985,5,75
2473,Soul Man,Comedy,1985,2,52
2475,52 Pick-Up,Action|Mystery|Thriller,1986,8,81
2476,Heartbreak Ridge,Action|War,1986,2,78
2478,¡Three Amigos!,Comedy|Western,1986,1,74
2736,Brighton Beach Memoirs,Comedy,1986,10,66
2741,No Mercy,Action|Crime|Thriller,1986,3,61
2746,Little Shop of Horrors,Comedy|Horror|Musical,1985,8,96
2786,Haunted Honeymoon,Comedy,1985,7,93
2815,Iron Eagle,Action|War,1986,8,82
2903,Psycho III,Horror|Thriller,1986,7,66
2918,Ferris Bueller's Day Off,Comedy,1985,7,70
2992,Rawhead Rex,Horror|Thriller,1985,5,79
3360,Hoosiers (a.k.a. Best Shot),Drama|Romance,1985,4,90
3390,Shanghai Surprise,Adventure|Crime|Drama|Romance,1985,7,98
3422,She's Gotta Have It,Comedy|Romance,1986,3,78
3459,Gothic,Drama|Horror,1986,4,72
3465,That's Life!,Drama,1985,7,83
3480,Lucas,Drama|Romance,1986,9,62
3491,My Chauffeur,Comedy,1985,9,97
3692,Class of Nuke 'Em High,Comedy|Horror,1986,5,100
3707,9 1/2 Weeks (Nine 1/2 Weeks),Drama|Romance,1985,4,52
3740,Big Trouble in Little China,Action|Adventure|Comedy|Fantasy,1986,3,96
3763,F/X,Action|Crime|Thriller,1986,10,62
3941,Sorority House Massacre,Horror,1986,6,56
4043,At Close Range,Crime|Drama,1985,8,64
4180,Reform School Girls,Action|Drama,1986,1,92
4210,Manhunter,Action|Crime|Drama|Horror|Thriller,1986,7,89
4218,River's Edge,Crime|Drama,1985,8,88
4355,Youngblood,Action|Drama,1985,6,76
4407,Salvador,Drama|Thriller|War,1985,2,68
4410,Something Wild,Comedy|Crime|Drama,1985,6,100
4492,Critters,Comedy|Sci-Fi,1985,3,70
4545,Short Circuit,Comedy|Sci-Fi,1985,3,93
4753,Vamp,Comedy|Horror,1985,10,82
4812,SpaceCamp,Adventure|Sci-Fi,1985,8,98
4981,Clockwise,Comedy,1986,9,54
5342,Nomads,Horror|Mystery|Thriller,1986,5,56
5539,Care Bears Movie II: A New Generation,Animation|Children,1986,5,55
5548,Down and Out in Beverly Hills,Comedy,1985,7,60
6201,Lady Jane,Drama|Romance,1985,10,51
6308,Legal Eagles,Comedy|Crime|Romance,1986,10,72
6315,Wildcats,Comedy,1985,1,88
6473,Half Moon Street,Drama|Thriller,1986,1,76
6800,Cobra,Action|Crime,1985,2,99
6993,Hannah and Her Sisters,Comedy|Drama|Romance,1986,3,61
7042,Betty Blue (37°2 le matin),Drama|Romance,1986,6,56
7815,True Stories,Comedy|Musical,1986,3,96
7984,From Beyond,Horror|Sci-Fi,1985,9,54
8743,Biggles,Adventure|Fantasy|Sci-Fi,1985,2,63
26564,'Round Midnight,Drama|Musical,1986,8,60
26574,Ginger and Fred (Ginger e Fred),Comedy|Drama,1986,8,68
26585,"Better Tomorrow, A (Ying hung boon sik)",Crime|Drama|Thriller,1985,5,62
31000,Sweet Liberty,Comedy,1985,3,89
42191,Luxo Jr.,Animation|Children,1986,7,66
43838,Troll,Comedy|Fantasy|Horror,1985,2,94
75823,Combat Shock,Drama|Horror|War,1986,6,100
80717,Voyeur (Abel),Comedy,1985,1,98
1088,Dirty Dancing,Drama|Musical|Romance,1986,6,79
1202,Withnail & I,Comedy,1987,4,66
1211,"Wings of Desire (Himmel über Berlin, Der)",Drama|Fantasy|Romance,1986,1,58
1222,Full Metal Jacket,Drama|War,1986,6,84
1255,Bad Taste,Comedy|Horror|Sci-Fi,1987,2,69
1261,Evil Dead II (Dead by Dawn),Action|Comedy|Fantasy|Horror,1986,10,82
1290,Some Kind of Wonderful,Drama|Romance,1986,9,89
1394,Raising Arizona,Comedy,1986,7,73
1395,Tin Men,Comedy|Drama,1986,2,69
1970,"Nightmare on Elm Street 3: Dream Warriors, A",Horror|Thriller,1986,10,50
1988,Prom Night II,Horror|Thriller,1987,6,62
2000,Lethal Weapon,Action|Comedy|Crime|Drama,1987,3,62
2133,Adventures in Babysitting,Adventure|Comedy,1987,4,51
2164,Surf Nazis Must Die,Action|Comedy|Drama|Horror,1987,1,76
2243,Broadcast News,Comedy|Drama|Romance,1987,4,88
2381,Police Academy 4: Citizens on Patrol,Comedy|Crime,1986,1,67
2750,Radio Days,Comedy|Drama,1986,6,51
2752,Outrageous Fortune,Comedy|Mystery,1986,10,63
2754,Deadtime Stories,Horror,1986,1,86
2755,Light of Day,Drama,1986,10,51
2880,Armour of God (Long xiong hu di),Action|Adventure|Comedy,1986,6,56
2956,Someone to Watch Over Me,Action|Crime|Thriller,1986,4,65
2972,Red Sorghum (Hong gao liang),Drama|War,1987,2,87
2985,RoboCop,Action|Crime|Drama|Sci-Fi|Thriller,1986,3,55
3017,Creepshow 2,Horror,1986,3,83
3033,Spaceballs,Comedy|Sci-Fi,1986,6,62
3042,Meatballs III,Comedy,1987,3,98
3072,Moonstruck,Comedy|Romance,1986,2,56
3090,Matewan,Drama,1987,5,97
3094,Maurice,Drama|Romance,1986,5,56
3101,Fatal Attraction,Drama|Thriller,1987,1,76
3391,Who's That Girl?,Comedy,1986,3,98
3393,Date with an Angel,Comedy|Fantasy|Romance,1987,7,95
3394,Blind Date,Comedy|Romance,1987,10,83
3395,Nadine,Comedy,1986,2,66
3448,"Good Morning, Vietnam",Comedy|Drama|War,1986,3,96
3478,"Bamba, La",Drama,1987,4,74
3505,No Way Out,Drama|Mystery|Thriller,1987,10,71
3527,Predator,Action|Sci-Fi|Thriller,1986,2,74
3547,Prick Up Your Ears,Comedy|Drama,1987,6,53
3706,Angel Heart,Film-Noir|Horror|Mystery|Thriller,1987,2,63
3715,Burglar,Comedy|Crime,1986,4,79
3716,Fatal Beauty,Action|Comedy|Crime|Drama,1987,10,97
3727,Near Dark,Horror|Western,1987,6,58
3777,Nekromantik,Comedy|Horror,1986,5,52
3917,Hellraiser,Horror,1986,6,54
3939,Slumber Party Massacre II,Horror,1987,7,75
3962,Ghoulies II,Comedy|Horror,1986,9,78
4002,"Planes, Trains & Automobiles",Comedy,1987,6,71
4007,Wall Street,Drama,1986,1,58
4037,House of Games,Crime|Film-Noir|Mystery|Thriller,1986,1,61
4080,Baby Boom,Comedy,1986,3,55
4082,Barfly,Comedy|Drama|Romance,1986,7,87
4084,Beverly Hills Cop II,Action|Comedy|Crime|Thriller,1986,2,94
4089,Born in East L.A.,Comedy,1986,7,80
4091,Can't Buy Me Love,Comedy|Romance,1986,8,95
4092,Cherry 2000,Romance|Sci-Fi,1986,7,93
4095,Cry Freedom,Drama,1986,2,87
4101,Dogs in Space,Drama,1987,7,55
4102,Eddie Murphy Raw,Comedy|Documentary,1986,6,87
4104,Ernest Goes to Camp,Comedy,1987,10,96
4106,Extreme Prejudice,Action|Crime|Drama|Thriller|Western,1986,4,78
4108,Five Corners,Drama,1987,4,67
4111,Gardens of Stone,Drama|War,1986,4,95
4114,"Good Morning, Babylon",Drama,1987,2,64
4115,Hiding Out,Comedy,1987,6,85
4116,Hollywood Shuffle,Comedy,1987,5,59
4117,Hope and Glory,Drama,1986,3,71
4121,Innerspace,Action|Adventure|Comedy|Sci-Fi,1987,8,50
4122,Ironweed,Drama,1986,3,61
4123,Ishtar,Comedy,1987,6,54
4126,Less Than Zero,Drama,1986,4,58
4130,Maid to Order,Comedy|Fantasy,1987,2,62
4131,Making Mr. Right,Comedy|Romance|Sci-Fi,1986,3,53
4132,Mannequin,Comedy|Romance,1986,10,85
4139,No Man's Land,Crime|Drama,1987,9,75
4140,North Shore,Drama|Romance,1987,10,91
4332,Suspect,Crime|Drama|Thriller,1986,10,59
4529,Bagdad Cafe (Out of Rosenheim),Comedy|Drama,1987,9,78
4988,White Water Summer,Adventure,1986,3,90
5308,Three Men and a Baby,Comedy,1987,5,71
5404,84 Charing Cross Road,Drama|Romance,1986,4,93
5553,Stakeout,Comedy|Crime|Romance|Thriller,1986,4,81
6415,Intervista,Comedy|Drama,1986,5,72
6525,Nuts,Drama,1987,2,61
6791,Babette's Feast (Babettes gæstebud),Drama,1987,7,72
6816,Three O'Clock High,Comedy,1987,2,59
7026,Summer School,Comedy,1987,2,89
7102,Dragnet,Comedy|Crime|Drama,1987,9,99
7305,Black Widow,Crime|Drama|Mystery|Thriller,1987,1,64
7411,Munchies,Comedy|Horror,1986,2,55
7478,Swimming to Cambodia,Drama,1987,8,91
7878,Straight to Hell,Comedy|Crime|Western,1986,3,66
7987,Dolls,Horror,1987,8,100
8123,Sammy and Rosie Get Laid,Comedy|Drama,1986,8,67
8128,Au revoir les enfants,Drama,1986,9,87
8169,*batteries not included,Children|Comedy|Fantasy|Sci-Fi,1987,2,85
8574,"Claymation Christmas Celebration, A",Animation|Children|Comedy|Musical,1987,3,78
8614,Overboard,Comedy|Romance,1987,3,71
8623,Roxanne,Comedy|Romance,1987,9,83
26599,"Law of Desire (Ley del deseo, La)",Comedy|Drama|Romance,1987,6,74
26603,Prince of Darkness,Fantasy|Horror|Sci-Fi|Thriller,1986,9,61
26606,"Chinese Ghost Story, A (Sinnui yauwan)",Action|Fantasy|Horror|Romance,1986,3,56
32515,Walker,Adventure|Drama|War|Western,1986,3,98
45987,Chuck Berry Hail! Hail! Rock 'n' Roll,Documentary|Musical,1986,6,61
51207,Street Trash,Comedy|Horror,1987,5,76
77291,Aria,Comedy|Drama,1986,7,87
80599,Buster Keaton: A Hard Act to Follow,Documentary,1986,1,100
95147,Dragon Ball: Sleeping Princess in Devil's Castle (Doragon bôru: Majinjô no nemuri hime),Action|Adventure|Animation|Children,1987,4,94
103813,Miami Connection,Action|Crime,1987,3,63
709,Oliver & Company,Adventure|Animation|Children|Comedy|Musical,1987,10,91
1036,Die Hard,Action|Crime|Thriller,1988,6,65
1079,"Fish Called Wanda, A",Comedy|Crime,1988,4,88
1274,Akira,Action|Adventure|Animation|Sci-Fi,1987,9,80
1378,Young Guns,Action|Comedy|Western,1987,8,55
1961,Rain Man,Drama,1987,10,68
1991,Child's Play,Horror|Thriller,1987,8,90
1996,Poltergeist III,Horror|Thriller,1987,6,82
2020,Dangerous Liaisons,Drama|Romance,1987,7,80
2174,Beetlejuice,Comedy|Fantasy,1988,3,79
2193,Willow,Action|Adventure|Fantasy,1987,5,54
2245,Working Girl,Comedy|Drama|Romance,1987,10,50
2246,Stars and Bars,Action|Comedy|Romance,1988,8,60
2382,Police Academy 5: Assignment: Miami Beach,Comedy|Crime,1988,8,75
2404,Rambo III,Action|Adventure|Thriller|War,1987,6,68
2471,Crocodile Dundee II,Action|Adventure|Comedy,1987,8,78
2551,Dead Ringers,Drama|Horror|Thriller,1987,10,66
2733,Vibes,Adventure|Comedy|Romance,1988,7,81
2796,Funny Farm,Comedy,1988,7,62
2797,Big,Comedy|Drama|Fantasy|Romance,1988,3,57
2802,Tequila Sunrise,Action|Drama|Romance|Thriller,1987,5,54
2816,Iron Eagle II,Action|War,1987,1,75
2868,Fright Night Part II,Horror,1987,10,86
2900,Monkey Shines,Horror|Sci-Fi,1988,5,62
2926,Hairspray,Comedy|Drama,1988,9,85
2987,Who Framed Roger Rabbit?,Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery,1988,8,69
3071,Stand and Deliver,Comedy|Drama,1987,5,81
3087,Scrooged,Comedy|Fantasy|Romance,1988,7,56
3104,Midnight Run,Action|Comedy|Crime|Thriller,1988,5,50
3138,Stealing Home,Drama,1987,4,90
3142,U2: Rattle and Hum,Documentary|Musical,1988,6,65
3343,And God Created Woman,Comedy|Drama|Romance,1987,6,60
3361,Bull Durham,Comedy|Drama|Romance,1988,7,57
3370,Betrayed,Drama|Thriller,1987,3,73
3423,School Daze,Drama,1987,5,98
3444,Bloodsport,Action,1987,8,73
3496,Madame Sousatzka,Drama,1987,1,88
3577,Two Moon Junction,Drama|Romance,1988,10,59
3613,Things Change,Comedy,1988,9,83
3687,Light Years (Gandahar),Adventure|Animation|Fantasy|Sci-Fi,1987,8,91
3701,Alien Nation,Crime|Drama|Sci-Fi|Thriller,1988,5,62
3710,Action Jackson,Action|Comedy|Crime|Thriller,1988,8,59
3714,Clara's Heart,Drama,1987,2,53
3768,Braddock: Missing in Action III,Action|War,1987,9,71
3837,Phantasm II,Action|Fantasy|Horror|Sci-Fi|Thriller,1987,9,54
3840,Pumpkinhead,Horror,1987,5,55
3918,Hellbound: Hellraiser II,Horror,1987,10,100
4003,She's Having a Baby,Comedy,1988,5,97
4009,Talk Radio,Drama,1987,8,50
4012,Punchline,Comedy|Drama,1987,10,66
4062,Mystic Pizza,Comedy|Drama|Romance,1988,4,95
4066,I'm Gonna Git You Sucka,Action|Comedy,1988,3,66
4181,Tapeheads,Comedy,1988,4,92
4322,Eight Men Out,Drama,1987,6,60
4326,Mississippi Burning,Crime|Drama|Thriller,1987,6,64
4462,18 Again!,Comedy|Fantasy,1988,9,53
4469,Appointment with Death,Crime|Mystery,1987,2,97
4470,Ariel,Drama,1988,7,89
4473,Bat*21,Drama|War,1987,5,88
4474,Beaches,Comedy|Drama|Musical,1988,9,83
4477,Big Top Pee-Wee,Adventure|Children|Comedy,1988,5,59
4478,Biloxi Blues,Comedy|Drama,1988,9,92
4479,Bird,Drama|Musical,1987,10,69
4482,"Bright Lights, Big City",Drama,1988,2,90
4483,Caddyshack II,Comedy,1987,2,62
4486,Clean and Sober,Drama,1987,8,75
4487,Cocktail,Drama|Romance,1987,9,56
4488,Colors,Action|Crime|Drama,1988,2,70
4489,Coming to America,Comedy|Romance,1987,7,55
4491,Criminal Law,Thriller,1988,1,81
4495,Crossing Delancey,Comedy|Romance,1987,3,56
4496,D.O.A.,Film-Noir|Mystery|Thriller,1987,3,100
4499,Dirty Rotten Scoundrels,Comedy,1987,10,70
4500,Drowning by Numbers,Comedy|Drama,1988,10,64
4502,Ernest Saves Christmas,Children|Comedy,1988,4,87
